IDI 2017 Rank;Economy;IDI 2017 Value
1;Iceland;8.98
2;Korea (Rep.);8.85
3;Switzerland;8.74
4;Denmark;8.71
5;United Kingdom;8.65
6;Hong Kong;8.61
7;Netherlands;8.49
8;Norway;8.47
9;Luxembourg;8.47
10;Japan;8.43
11;Sweden;8.41
12;Germany;8.39
13;New Zealand;8.33
14;Australia;8.24
15;France;8.24
16;United States;8.18
17;Estonia;8.14
18;Singapore;8.05
19;Monaco;8.05
20;Ireland;8.02
21;Austria;8.02
22;Finland;7.88
23;Israel;7.88
24;Malta;7.86
25;Belgium;7.81
26;Macao;7.8
27;Spain;7.79
28;Cyprus;7.77
29;Cyprus;7.77
30;Andorra;7.71
31;Bahrain;7.6
32;Belarus;7.55
33;Slovenia;7.38
34;Barbados;7.31
35;Latvia;7.26
36;Croatia;7.24
37;St. Kitts and Nevis;7.24
38;Greece;7.23
39;Qatar;7.21
40;United Arab Emirates;7.21
41;Lithuania;7.19
42;Uruguay;7.16
43;Czech Republic;7.16
44;Portugal;7.13
45;Russian Federation;7.07
46;Slovakia;7.06
47;Italy;7.04
48;Hungary;6.93
49;Poland;6.89
50;Bulgaria;6.86
51;Argentina;6.79
52;Kazakhstan;6.79
53;Brunei Darussalam;6.75
54;Saudi Arabia;6.67
55;Serbia;6.61
56;Chile;6.57
57;Bahamas;6.51
58;Romania;6.48
59;Moldova;6.45
60;Costa Rica;6.44
61;Montenegro;6.44
62;Oman;6.43
63;Malaysia;6.38
64;Lebanon;6.3
65;Azerbaijan;6.2
66;Brazil;6.12
67;Turkey;6.08
68;Trinidad & Tobago;6.04
69;TFYR Macedonia;6.01
70;Jordan;6
71;Kuwait;5.98
72;Mauritius;5.88
73;Grenada;5.8
74;Georgia;5.79
75;Armenia;5.76
76;Antigua & Barbuda;5.71
77;Dominica;5.69
78;Thailand;5.67
79;Ukraine;5.62
80;China;5.6
81;Iran (I.R.);5.58
82;St. Vincent and the Grenadines;5.54
83;Bosnia and Herzegovina;5.39
84;Colombia;5.36
85;Maldives;5.25
86;Venezuela;5.17
87;Mexico;5.16
88;Suriname;5.15
89;Albania;5.14
90;Seychelles;5.03
91;Mongolia;4.96
92;South Africa;4.96
93;Cape Verde;4.92
94;Panama;4.91
95;Uzbekistan;4.9
96;Peru;4.85
97;Ecuador;4.84
98;Jamaica;4.84
99;Tunisia;4.82
100;Morocco;4.77
101;Philippines;4.67
102;Algeria;4.67
103;Egypt;4.63
104;St. Lucia;4.63
105;Botswana;4.59
106;Dominican Rep.;4.51
107;Fiji;4.49
108;Viet Nam;4.43
109;Kyrgyzstan;4.37
110;Tonga;4.34
111;Indonesia;4.33
112;Bolivia;4.31
113;Paraguay;4.18
114;Gabon;4.11
115;Libya;4.11
116;Ghana;4.05
117;Sri Lanka;3.91
118;Namibia;3.89
119;El Salvador;3.82
120;Belize;3.71
121;Bhutan;3.69
122;Timor-Leste;3.57
123;Palestine;3.55
124;Guyana;3.44
125;Guatemala;3.35
126;Syria;3.34
127;Samoa;3.3
128;Cambodia;3.28
129;Honduras;3.28
130;Nicaragua;3.27
131;Côte d'Ivoire;3.14
132;S. Tomé & Principe;3.09
133;Lesotho;3.04
134;India;3.03
135;Myanmar;3
136;Zimbabwe;2.92
137;Cuba;2.91
138;Kenya;2.91
139;Lao P.D.R.;2.91
140;Nepal;2.88
141;Vanuatu;2.81
142;Senegal;2.66
143;Nigeria;2.6
144;Gambia;2.59
145;Sudan;2.55
146;Zambia;2.54
147;Bangladesh;2.53
148;Pakistan;2.42
149;Cameroon;2.38
150;Mozambique;2.32
151;Mauritania;2.26
152;Uganda;2.19
153;Rwanda;2.18
154;Kiribati;2.17
155;Mali;2.16
156;Togo;2.15
157;Solomon Islands;2.11
158;Djibouti;1.98
159;Afghanistan;1.95
160;Angola;1.94
161;Benin;1.94
162;Burkina Faso;1.9
163;Equatorial Guinea;1.86
164;Comoros;1.82
165;Tanzania;1.81
166;Guinea;1.78
167;Malawi;1.74
168;Haiti;1.72
169;Madagascar;1.68
170;Ethiopia;1.65
171;Congo (Dem. Rep.);1.55
172;Burundi;1.48
173;Guinea-Bissau;1.48
174;Chad;1.27
175;Central African Rep.;1.04
176;Eritrea;0.96
